No,Chinese,Author_CL,English,Author_EL
192,"德者人之所严，而才者人之所爱；爱者易亲，严者易疏，是以察者多蔽于才而遗于德。","《资治通鉴》","People revere true virtue and cherish genuine talent—yet, sometimes, strictness can distance even the gifted, leading judges to favor character over raw ability.","Zizhi Tongjian"
193,"能择善者而从之，美自归己。","《资治通鉴》","When you align with what is good, beauty and excellence naturally gravitate towards you.","Zizhi Tongjian"
194,"木心不直，则脉理皆邪，弓虽劲而发矢不直。","《资治通鉴》","If the inner nature is misaligned, then even the strongest effort will not yield a straight result.","Zizhi Tongjian"
195,"好胜人，耻闻过，骋辩给，眩聪明，厉威严，恣强愎，此六者，君上之弊也。","《资治通鉴》","Craving triumph, shunning admission of error, engaging in endless debate, flaunting cleverness, enforcing harsh discipline, and being obstinately unyielding—these six faults plague leaders.","Zizhi Tongjian"
196,"凡论人，必先称其所长，则所短不言自见。","《资治通鉴》","When evaluating others, highlight their strengths, and their shortcomings will naturally fade into the background.","Zizhi Tongjian"
197,"舟顺水之道乃浮，违则没；君得人之情乃固，失则危。","《资治通鉴》","A vessel that aligns with the current stays afloat, while one that resists is doomed; similarly, a leader who connects with his people remains secure, but without that bond, peril ensues.","Zizhi Tongjian"
198,"为贵人当举纲维，何必事事详细！","《资治通鉴》","Great leaders should emphasize overarching principles rather than getting bogged down in every detail.","Zizhi Tongjian"
199,"论至德者不和于俗，成大功者不谋于众。","《资治通鉴》","The truly virtuous defy common trends, and those who accomplish greatness do so by following their own insight, not the crowd.","Zizhi Tongjian"
200,"法忌烦苛，治贵清约。","《资治通鉴》","Rules should shun needless complexity, and governance thrives on simplicity and restraint.","Zizhi Tongjian"
201,"仁者不以盛衰改节，义者不以存亡易心。","《资治通鉴》","A kind soul remains constant through highs and lows, and a just heart stays true regardless of circumstances.","Zizhi Tongjian"
202,"凡百事之成也在敬之，其败有必在慢之。","《资治通鉴》","Every success is built on respect and careful effort, while neglect and haste are the seeds of failure.","Zizhi Tongjian"
203,"形者，言其大体得失之数也；势者，言其临时之宜、进退之机也；情者，言其心志可否之实也。","《资治通鉴》","The visible form reveals the balance of gains and losses, circumstance dictates the right moment for action, and the inner will determines what is truly possible.","Zizhi Tongjian"
204,"聪明流通者戒于太察，寡闻少见者戒于壅蔽。","《资治通鉴》","The astute should be cautious of overthinking, while the less informed must guard against the pitfalls of limited perspective.","Zizhi Tongjian"
205,"得财失行，吾所不取。","《资治通鉴》","I reject any gain that compromises my principles.","Zizhi Tongjian"
206,"去就以道，可谓君子矣。","《资治通鉴》","A true gentleman makes choices in accordance with the Way, whether to advance or retreat.","Zizhi Tongjian"
207,"不诚于前而曰诫于后，众必疑而不信矣。","《资治通鉴》","When one is not genuine upfront but later issues warnings, trust is irrevocably lost.","Zizhi Tongjian"
208,"夫登进以懋庸，黜退以惩过，二者迭用，理如循环。","《资治通鉴》","By rewarding merit and disciplining mistakes in turn, a balanced cycle of governance is maintained.","Zizhi Tongjian"
209,"德胜才，谓之君子；才胜德，谓之小人。","《资治通鉴》","A person whose virtue outweighs his talent is a true gentleman; when raw ability overshadows character, one is reduced to pettiness.","Zizhi Tongjian"
210,"凡人之情，穷则思变。","《资治通鉴》","When faced with adversity, it is only natural for people to yearn for change.","Zizhi Tongjian"
211,"夫表曲者景必邪，源清者流必洁。","《资治通鉴》","A distorted appearance clouds the truth, but a clear origin ensures pure outcomes.","Zizhi Tongjian"
212,"立功者患信义不著，不患名位不高。","《资治通鉴》","Ambitious individuals fret more that their loyalty and integrity go unnoticed than that their rank is low.","Zizhi Tongjian"
213,"口说不如身逢，耳闻不如目睹。","《资治通鉴》","Words pale in comparison to firsthand experience, just as hearsay cannot match what one sees.","Zizhi Tongjian"
214,"没齿而无怨言，圣人以为难。","《资治通鉴》","Living without a single complaint is a challenge even the wisest find formidable.","Zizhi Tongjian"
215,"欲知其人，观其朋友。","《资治通鉴》","To understand someone's character, look at the company they keep.","Zizhi Tongjian"
216,"短于从善，故至于败。","《资治通鉴》","Neglecting to embrace virtue inevitably leads to failure.","Zizhi Tongjian"
217,"币厚言甘，古人所畏也。","《资治通鉴》","The ancients dreaded lavish bribes and honeyed words that masked ulterior motives.","Zizhi Tongjian"
218,"夫不察事之是非而悦人赞己，暗莫甚焉；不度理之所在而阿谀求容，谄莫甚焉。","《资治通鉴》","To ignore the truth of matters while reveling in praise is profoundly misguided; to flatter without understanding the underlying principles is the very essence of deceit.","Zizhi Tongjian"
219,"丈夫一言许人，千金不易。","《资治通鉴》","A man's promise is as precious and unbreakable as a treasure worth a thousand gold coins.","Zizhi Tongjian"
220,"俭约，所以彰其美也。","《资治通鉴》","Simplicity and restraint are the hallmarks of genuine elegance.","Zizhi Tongjian"
221,"明者销祸于未萌,智者图患于将来","《资治通鉴》","The insightful avert problems before they sprout, and the wise prepare for future challenges.","Zizhi Tongjian"
222,"任贤必治，任不肖必乱。","《资治通鉴》","When you empower the capable, order prevails; entrusting the unworthy only invites disorder.","Zizhi Tongjian"
223,"汝知稼穑之艰难，则常有斯饭矣。","《资治通鉴》","Once you grasp the toil of the harvest, every meal becomes a cherished reward.","Zizhi Tongjian"
224,"人不可以求备，必舍其所短，取其所长。","《资治通鉴》","No one can be flawless—focus on your strengths and let go of what holds you back.","Zizhi Tongjian"
225,"卧榻之侧，岂容他人鼾睡乎？","《资治通鉴》","One would never tolerate a disruptive presence right at one’s side.","Zizhi Tongjian"
226,"君子挟才以为善，小人挟才以为恶。","《资治通鉴》","A noble person harnesses talent to do good, whereas the base‐minded exploit it for ill.","Zizhi Tongjian"
227,"夫礼，辨贵贱，序亲疏，裁群物，制庶事，非名不著，非器不形。","《资治通鉴》","Ritual and propriety establish order—defining status, relationships, and even the form of things, without which nothing holds meaning.","Zizhi Tongjian"
228,"见黄雀而忘深阱，智者所不为","《资治通鉴》","A wise person never overlooks a hidden snare, even in the pursuit of a small gain.","Zizhi Tongjian"
229,"不得道以持之，则大危也，大累也，有之不如无之","《资治通鉴》","Clinging to power without the guiding Way brings peril and burdens—sometimes, nothing is better than what is held without righteousness.","Zizhi Tongjian"
230,"君子小人之不相容，犹冰炭之不可同器而处也，故君子得位则斥小人，小人得势则排君子。","《资治通鉴》","Just as ice cannot reside with fire, the noble and the petty are fundamentally incompatible—each will eventually push the other aside.","Zizhi Tongjian"
231,"千钧之弩，不为鼷鼠发机；万石之钟，不以莛撞起音。","《资治通鉴》","A mighty weapon isn’t activated by a trivial force, nor does a colossal clock sound with the lightest touch.","Zizhi Tongjian"
